Autism: Dorea, Coprococcus, Alistipes, Enterococcus, Parabacteroides, Shigella, Roseburia, Blautia, Faecalibacterium prausnitzii, Enterobacteriaceae, Ruminococcaceae, Lachnospiraceae, Faecalibacterium, Bacteroides fragilis, Phascolarctobacterium, Klebsiella, Ruminococcus, Clostridium, Collinsella, Bacteroides
HIV-infected pneumonia: Corynebacterium, Lactobacillus, Prevotella, Streptococcus, Veillonella, Bifidobacterium, Neisseria, Bacteroides, Haemophilus, Staphylococcus, Staphylococcus epidermidis, Fusobacterium, Bacteroidetes, Faecalibacterium prausnitzii, Enterobacteriaceae, Ruminococcaceae, Firmicutes, Porphyromonas, Blautia, Acinetobacter
Pervasive developmental disorder NOS: Ruminococcus gnavus, Bacteroides plebeius, Dorea, Coprococcus, Lachnoclostridium, Bacteroides fragilis, Bacteroides vulgatus, Akkermansia muciniphila, Escherichia coli, Subdoligranulum, Alistipes, Blautia, Collinsella aerofaciens, Enterococcus, Anaerostipes, Parabacteroides, Clostridium cluster IV, Faecalibacterium, Shigella, Roseburia
Macular degeneration: Parabacteroides, Roseburia, Ruminococcus, Bacteroides, Enterococcus, Faecalibacterium, Clostridium, Faecalibacterium prausnitzii, Blautia, Enterobacteriaceae, Bifidobacterium, Alistipes, Lachnospiraceae, Coprococcus, Ruminococcaceae, Dorea, Acinetobacter, Streptococcus, Prevotella, Staphylococcus
Spondyloarthritis: Bacteroides, Streptococcus, Prevotella, Bifidobacterium, Blautia, Lactobacillus, Faecalibacterium, Faecalibacterium prausnitzii, Roseburia, Corynebacterium, Veillonella, Enterobacteriaceae, Staphylococcus, Ruminococcaceae, Ruminococcus, Enterococcus, Acinetobacter, Haemophilus, Neisseria, Parabacteroides
Systemic lupus erythematosus: Alloprevotella, Fusobacterium, Megasphaera, Lachnospiraceae, Peptostreptococcaceae, Bacteroidetes, Acinetobacter, Roseburia, Staphylococcus, Bacteroides, Porphyromonas, Neisseria, Bifidobacterium, Dialister, Ruminococcaceae, Faecalibacterium prausnitzii, Peptoniphilus, Actinomyces, Haemophilus, Veillonella
Transient Ischemic Attack: Ruminococcus, Parabacteroides, Bacteroides, Faecalibacterium, Roseburia, Enterococcus, Blautia, Clostridium, Coprococcus, Faecalibacterium prausnitzii, Bifidobacterium, Enterobacteriaceae, Lachnospiraceae, Ruminococcaceae, Alistipes, Dorea, Acinetobacter, Dialister, Staphylococcus, Streptococcus
Denture Stomatitis: Corynebacterium, Prevotella, Veillonella, Streptococcus, Lactobacillus, Neisseria, Fusobacterium, Haemophilus, Bifidobacterium, Staphylococcus, Bacteroides, Haemophilus parainfluenzae, Porphyromonas, Staphylococcus epidermidis, Actinomyces, Gemella, Campylobacter, Gardnerella vaginalis, Bacteroidetes, Faecalibacterium prausnitzii
Spinal cord injury: Parabacteroides, Faecalibacterium, Bacteroides, Blautia, Ruminococcus, Roseburia, Faecalibacterium prausnitzii, Enterococcus, Coprococcus, Dorea, Bifidobacterium, Clostridium, Alistipes, Enterobacteriaceae, Ruminococcaceae, Streptococcus, Prevotella, Lactobacillus, Lachnospiraceae, Phascolarctobacterium
Osmotic diarrhea: Prevotella, Streptococcus, Bacteroides, Bifidobacterium, Corynebacterium, Veillonella, Roseburia, Faecalibacterium prausnitzii, Faecalibacterium, Enterobacteriaceae, Lactobacillus, Blautia, Staphylococcus, Ruminococcaceae, Ruminococcus, Haemophilus, Acinetobacter, Enterococcus, Neisseria, Lachnospiraceae
Reflux esophagitis: Prevotella, Streptococcus, Corynebacterium, Lactobacillus, Veillonella, Bifidobacterium, Bacteroides, Faecalibacterium prausnitzii, Staphylococcus, Blautia, Enterobacteriaceae, Haemophilus, Neisseria, Faecalibacterium, Ruminococcaceae, Roseburia, Acinetobacter, Fusobacterium, Porphyromonas, Bacteroidetes
Inactive Crohn's Disease: Faecalibacterium, Blautia, Ruminococcus, Bacteroides, Roseburia, Enterococcus, Faecalibacterium prausnitzii, Parabacteroides, Coprococcus, Bifidobacterium, Dorea, Enterobacteriaceae, Ruminococcaceae, Clostridium, Streptococcus, Prevotella, Alistipes, Lachnospiraceae, Staphylococcus, Acinetobacter
Endometrial cancer: Bacteroides, Faecalibacterium, Roseburia, Bifidobacterium, Faecalibacterium prausnitzii, Ruminococcus, Blautia, Prevotella, Streptococcus, Enterococcus, Parabacteroides, Enterobacteriaceae, Ruminococcaceae, Veillonella, Staphylococcus, Lactobacillus, Clostridium, Acinetobacter, Coprococcus, Lachnospiraceae
Infantile eczema: Parabacteroides, Ruminococcus, Coprococcus, Alistipes, Dorea, Enterococcus, Phascolarctobacterium, Clostridium, Akkermansia, Faecalibacterium, Blautia, Klebsiella, Roseburia, Megamonas, Lachnospiraceae, Collinsella, Shigella, Sutterella, Ruminococcaceae, Enterobacteriaceae
Granulomatous mastitis: Staphylococcus epidermidis, Propionibacterium acnes, Lactobacillus crispatus, Gardnerella vaginalis, Corynebacterium, Lactobacillus iners, Lactobacillus, Staphylococcus aureus, Prevotella, Veillonella, Streptococcus, Lactobacillus gasseri, Haemophilus parainfluenzae, Prevotella copri, Veillonella parvula, Haemophilus influenzae, Neisseria, Bifidobacterium, Fusobacterium, Veillonella dispar
severe skin and soft tissue infection: Prevotella, Streptococcus, Lactobacillus, Corynebacterium, Veillonella, Bacteroides, Bifidobacterium, Faecalibacterium prausnitzii, Faecalibacterium, Blautia, Roseburia, Staphylococcus, Enterobacteriaceae, Ruminococcaceae, Haemophilus, Neisseria, Acinetobacter, Ruminococcus, Enterococcus, Fusobacterium
Coronary Heart Disease: Bacteroides, Roseburia, Ruminococcus, Faecalibacterium, Enterococcus, Blautia, Faecalibacterium prausnitzii, Parabacteroides, Bifidobacterium, Clostridium, Enterobacteriaceae, Ruminococcaceae, Lachnospiraceae, Coprococcus, Streptococcus, Prevotella, Acinetobacter, Lactobacillus, Staphylococcus, Dialister
Acne: Firmicutes, Bacteroidetes, Faecalibacterium, Blautia, Lactobacillus, Bacteroides, Ruminococcus, Roseburia, Bifidobacterium, Enterobacteriaceae, Clostridiales, Megasphaera, Ruminococcaceae, Staphylococcus, Streptococcus, Faecalibacterium prausnitzii, Enterococcus, Parabacteroides, Acinetobacter, Sneathia
Vitiligo: Bipolaris, Aspergillus fumigatus, Dyadobacter, Erwinia, Tessaracoccus, Rathayibacter, Yimella, Geminicoccus, Filobasidium floriforme, Bartonellaceae, Xylaria, Filobasidium, Acidimicrobiales, Propionibacterium granulosum, Ramularia, Aeromicrobium, Fusarium, Exidia, Engyodontium, Pilatoporus
Appendicitis: Porphyromonas, Pseudomonas, Dialister, Proteobacteria, Actinomyces, Rothia, Fusobacterium, Eubacterium, Campylobacter, Haemophilus, Lachnospiraceae, Veillonella, Acinetobacter, Neisseria, Staphylococcus, Leptotrichia, Prevotella, Ruminococcaceae, Enterobacteriaceae, Streptococcus
Gastro-oesophageal reflux disease: Corynebacterium, Prevotella, Lactobacillus, Veillonella, Streptococcus, Propionibacterium acnes, Staphylococcus epidermidis, Bifidobacterium, Neisseria, Haemophilus, Prevotella copri, Bacteroides, Gardnerella vaginalis, Lactobacillus crispatus, Fusobacterium, Staphylococcus, Faecalibacterium prausnitzii, Bacteroidetes, Porphyromonas, Haemophilus parainfluenzae
Constipation: Blautia, Faecalibacterium, Ruminococcus, Coprococcus, Clostridium cluster IV, Roseburia, Dorea, Enterococcus, Parabacteroides, Bacteroides, Faecalibacterium prausnitzii, Enterobacteriaceae, Ruminococcaceae, Coprobacillus, Alistipes, Bacteroidetes, Bifidobacterium, Megasphaera, Clostridium, Lachnospiraceae
Disease-free : Clostridium, Parabacteroides, Ruminococcus, Pseudomonas, Enterococcus, Proteobacteria, Phascolarctobacterium, Alistipes, Klebsiella, Lachnospiraceae, Roseburia, Dialister, Ruminococcaceae, Acinetobacter, Enterobacteriaceae, Escherichia, Lachnospira, Sutterella, Akkermansia, Megamonas
Chronic Rhinosinusitis with asthma: Corynebacterium, Lactobacillus, Prevotella, Streptococcus, Veillonella, Staphylococcus epidermidis, Propionibacterium acnes, Bifidobacterium, Bacteroides, Neisseria, Haemophilus, Staphylococcus, Faecalibacterium prausnitzii, Prevotella copri, Fusobacterium, Bacteroidetes, Firmicutes, Enterobacteriaceae, Blautia, Lactobacillus crispatus
Chronic Rhinosinusitis with cystic fibrosis: Streptococcus, Prevotella, Corynebacterium, Lactobacillus, Bacteroides, Bifidobacterium, Veillonella, Blautia, Faecalibacterium prausnitzii, Faecalibacterium, Roseburia, Staphylococcus, Enterobacteriaceae, Ruminococcaceae, Acinetobacter, Ruminococcus, Haemophilus, Neisseria, Enterococcus, Fusobacterium
Postmenopausal: Bacteroides, Bifidobacterium, Roseburia, Prevotella, Faecalibacterium, Streptococcus, Faecalibacterium prausnitzii, Ruminococcus, Blautia, Lactobacillus, Enterobacteriaceae, Ruminococcaceae, Enterococcus, Veillonella, Staphylococcus, Parabacteroides, Clostridium, Lachnospiraceae, Acinetobacter, Corynebacterium
Aphthous stomatitis: Bacteroides, Prevotella, Clostridium, Roseburia, Bifidobacterium, Faecalibacterium prausnitzii, Streptococcus, Parabacteroides, Veillonella, Ruminococcus, Lactobacillus, Lachnospiraceae, Dialister, Faecalibacterium, Enterococcus, Haemophilus, Enterobacteriaceae, Porphyromonas, Ruminococcaceae, Staphylococcus
Primary sclerosing cholangitis-IBD: Pseudomonas, Megasphaera, Bacteroidetes, Lachnospiraceae, Klebsiella, Firmicutes, Acinetobacter, Dialister, Porphyromonas, Alloprevotella, Ruminococcus, Actinobacteria, Fusobacterium, Ruminococcaceae, Rothia, Parabacteroides, Proteobacteria, Alistipes, Staphylococcus, Enterobacteriaceae
Oral cancer: Fusobacterium, Neisseria, Porphyromonas, Veillonella, Actinomyces, Alloprevotella, Campylobacter, Haemophilus, Gemella, Firmicutes, Leptotrichia, Bacteroidetes, Corynebacterium, Rothia, Prevotella, Streptococcus, Granulicatella, Megasphaera, Atopobium, Oribacterium
Psoriatic Arthritis: Streptococcus, Prevotella, Bacteroides, Lactobacillus, Bifidobacterium, Blautia, Corynebacterium, Faecalibacterium, Faecalibacterium prausnitzii, Veillonella, Roseburia, Enterobacteriaceae, Staphylococcus, Ruminococcaceae, Ruminococcus, Enterococcus, Acinetobacter, Haemophilus, Neisseria, Parabacteroides
Chronic lung disease: Moraxella catarrhalis, Rhinovirus, Moraxella nonliquefaciens, Dolosigranulum pigrum, Human herpesvirus 6, Varibaculum cambriense, Propionimicrobium lymphophilum, Haemophilus influenzae, Lactobacillus sakei, Globicatella, Staphylococcus epidermidis, Propionibacterium acnes, Lactobacillus iners, Mycoplasma pneumoniae, Aspergillus fumigatus, Corynebacterium propinquum, Peptoanaerobacter, Erwinia, Gardnerella vaginalis, Roseolovirus
Cardiovascular disease: Prevotella, Corynebacterium, Lactobacillus, Streptococcus, Veillonella, Bifidobacterium, Bacteroides, Faecalibacterium prausnitzii, Neisseria, Staphylococcus, Haemophilus, Enterobacteriaceae, Blautia, Ruminococcaceae, Faecalibacterium, Fusobacterium, Roseburia, Acinetobacter, Bacteroidetes, Porphyromonas
Clostridium difficile associated disease: Monascus purpureus, Rhodotorula dairenensis, Geobacter, Bacteroides, Amaricoccus, Bifidobacterium, Streptococcus, Roseburia, Staphylococcus, Prevotella, Ruminococcus, Faecalibacterium, Kaistia, Chlorobaculum, Kribbella, Idiomarina, Aquicella, Dokdonella, Anaeromyxobacter, Chitinimonas
Botulism: Prevotella, Streptococcus, Lactobacillus, Bacteroides, Bifidobacterium, Corynebacterium, Veillonella, Faecalibacterium prausnitzii, Faecalibacterium, Blautia, Roseburia, Enterobacteriaceae, Staphylococcus, Ruminococcaceae, Ruminococcus, Haemophilus, Acinetobacter, Enterococcus, Neisseria, Lachnospiraceae
Idiopathic Pulmonary Fibrosis: Bacteroides, Blautia, Faecalibacterium, Roseburia, Faecalibacterium prausnitzii, Ruminococcus, Bifidobacterium, Enterococcus, Lactobacillus, Parabacteroides, Streptococcus, Prevotella, Enterobacteriaceae, Coprococcus, Ruminococcaceae, Dorea, Clostridium, Veillonella, Staphylococcus, Corynebacterium
Rett Syndrome: Bacteroides, Blautia, Faecalibacterium, Streptococcus, Prevotella, Bifidobacterium, Roseburia, Faecalibacterium prausnitzii, Lactobacillus, Ruminococcus, Enterobacteriaceae, Corynebacterium, Ruminococcaceae, Veillonella, Staphylococcus, Enterococcus, Acinetobacter, Parabacteroides, Coprococcus, Lachnospiraceae
Gingivitis: Prevotella, Streptococcus, Lactobacillus, Corynebacterium, Veillonella, Bifidobacterium, Bacteroides, Faecalibacterium prausnitzii, Staphylococcus, Enterobacteriaceae, Haemophilus, Blautia, Faecalibacterium, Neisseria, Ruminococcaceae, Roseburia, Acinetobacter, Fusobacterium, Porphyromonas, Ruminococcus
Chronic prostatitis / Chronic pelvic pain syndrome: Lactobacillus, Prevotella, Streptococcus, Veillonella, Corynebacterium, Bifidobacterium, Bacteroides, Staphylococcus, Enterobacteriaceae, Haemophilus, Faecalibacterium prausnitzii, Ruminococcaceae, Roseburia, Neisseria, Faecalibacterium, Blautia, Fusobacterium, Acinetobacter, Bacteroidetes, Porphyromonas
Kidney stone: Blautia, Ruminococcus gnavus, Faecalibacterium, Coprococcus, Dorea, Roseburia, Bacteroides, Faecalibacterium prausnitzii, Ruminococcus, Enterococcus, Parabacteroides, Lactobacillus, Enterobacteriaceae, Alistipes, Bifidobacterium, Clostridium cluster IV, Ruminococcaceae, Lachnoclostridium, Streptococcus, Clostridiales
Eosinophilic esophagitis: Corynebacterium, Prevotella, Streptococcus, Veillonella, Lactobacillus, Bifidobacterium, Bacteroides, Staphylococcus, Faecalibacterium prausnitzii, Neisseria, Haemophilus, Enterobacteriaceae, Ruminococcaceae, Blautia, Faecalibacterium, Fusobacterium, Roseburia, Acinetobacter, Bacteroidetes, Porphyromonas
Chronic kidney disease: Alistipes, Dorea, Coprococcus, Clostridium, Shigella, Parabacteroides, Megamonas, Klebsiella, Phascolarctobacterium, Collinsella, Enterococcus, Akkermansia, Roseburia, Lachnospiraceae, Ruminococcus, Acinetobacter, Proteobacteria, Sutterella, Ruminococcaceae, Enterobacteriaceae
Chagas' disease: Bacteroides, Bifidobacterium, Ruminococcus, Roseburia, Faecalibacterium, Blautia, Prevotella, Streptococcus, Enterobacteriaceae, Staphylococcus, Faecalibacterium prausnitzii, Ruminococcaceae, Parabacteroides, Enterococcus, Veillonella, Lactobacillus, Acinetobacter, Clostridium, Lachnospiraceae, Dialister
periodontitis: Leptotrichia, Granulicatella, Fusobacterium nucleatum, Actinomyces naeslundii, Atopobium, Prevotella denticola, Haemophilus parainfluenzae, Oribacterium, Actinomyces, Filifactor, Corynebacterium matruchotii, Fusobacterium, Sphingomonas, Campylobacter, Porphyromonas, Gemella, Burkholderia, Rothia, Cardiobacterium hominis, Selenomonas
Anorexia Nervosa: Prevotella, Streptococcus, Bacteroides, Lactobacillus, Bifidobacterium, Corynebacterium, Faecalibacterium prausnitzii, Roseburia, Faecalibacterium, Blautia, Veillonella, Enterobacteriaceae, Staphylococcus, Ruminococcaceae, Ruminococcus, Enterococcus, Acinetobacter, Haemophilus, Clostridium, Neisseria
Kawasaki disease: Blautia, Faecalibacterium, Bacteroides, Faecalibacterium prausnitzii, Roseburia, Streptococcus, Bifidobacterium, Prevotella, Ruminococcus, Lactobacillus, Enterobacteriaceae, Corynebacterium, Enterococcus, Ruminococcaceae, Coprococcus, Veillonella, Parabacteroides, Dorea, Staphylococcus, Acinetobacter
Rhinovirus infection: Prevotella, Streptococcus, Lactobacillus, Corynebacterium, Veillonella, Bacteroides, Bifidobacterium, Faecalibacterium prausnitzii, Staphylococcus, Blautia, Faecalibacterium, Enterobacteriaceae, Roseburia, Ruminococcaceae, Haemophilus, Neisseria, Acinetobacter, Ruminococcus, Fusobacterium, Enterococcus
Non alcoholic steatohepatitis: Blautia, Faecalibacterium, Dorea, Ruminococcus, Coprococcus, Roseburia, Parabacteroides, Bacteroides, Faecalibacterium prausnitzii, Enterococcus, Clostridium cluster IV, Alistipes, Bifidobacterium, Ruminococcaceae, Enterobacteriaceae, Clostridium, Acinetobacter, Streptococcus, Staphylococcus, Lachnospiraceae
Pancreatitis: Parabacteroides, Alistipes, Ruminococcus, Clostridium, Enterococcus, Phascolarctobacterium, Roseburia, Coprococcus, Dorea, Sutterella, Megamonas, Faecalibacterium, Bacteroides, Lachnospiraceae, Blautia, Shigella, Akkermansia, Enterobacteriaceae, Faecalibacterium prausnitzii, Ruminococcaceae
Non-alcoholic fatty liver disease: Coprococcus, Dorea, Alistipes, Parabacteroides, Clostridium, Megamonas, Roseburia, Ruminococcus, Enterococcus, Klebsiella, Shigella, Blautia, Phascolarctobacterium, Faecalibacterium, Akkermansia, Collinsella, Faecalibacterium prausnitzii, Lachnospiraceae, Acinetobacter, Enterobacteriaceae
Ascites: Prevotella, Corynebacterium, Lactobacillus, Streptococcus, Veillonella, Bifidobacterium, Bacteroides, Faecalibacterium prausnitzii, Staphylococcus, Neisseria, Haemophilus, Enterobacteriaceae, Blautia, Ruminococcaceae, Faecalibacterium, Roseburia, Fusobacterium, Acinetobacter, Bacteroidetes, Porphyromonas
Opisthorchis felineus infection: Pseudoxanthomonas mexicana, Prevotella dentalis, Staphylococcus equorum, Bacillus flexus, Lactobacillus brevis, Psychromonas, Sphingomonas changbaiensis, Rathayibacter caricis, Methylobacterium adhaesivum, Anoxybacillus kestanbolensis, Paracoccus aminovorans, Methylotenera mobilis, Janthinobacterium lividum, Sphingobium xenophagum, Curtobacterium, Jeotgalicoccus psychrophilus, Alicycliphilus, Spirodela, Rhizophagus, Nocardia asteroides
Helicobacter pylori infection: Lachnospira, Citrobacter, Desulfovibrio, Eubacterium, Enterobacter, Sutterella, Proteobacteria, Megamonas, Coriobacteriaceae, Escherichia coli, Shigella, Subdoligranulum, Escherichia, Phascolarctobacterium, Anaerostipes, Akkermansia, Collinsella, Porphyromonadaceae, Alistipes, Parabacteroides
Primary biliary cirrhosis: Veillonella, Prevotella, Streptococcus, Corynebacterium, Lactobacillus, Bifidobacterium, Fusobacterium, Neisseria, Haemophilus, Bacteroides, Staphylococcus, Porphyromonas, Actinomyces, Faecalibacterium prausnitzii, Enterobacteriaceae, Bacteroidetes, Ruminococcaceae, Campylobacter, Acinetobacter, Roseburia
Liver fibrosis: Bacteroides, Prevotella, Bifidobacterium, Roseburia, Streptococcus, Veillonella, Ruminococcus, Enterobacteriaceae, Lactobacillus, Staphylococcus, Clostridium, Dialister, Ruminococcaceae, Haemophilus, Faecalibacterium, Porphyromonas, Enterococcus, Lachnospiraceae, Faecalibacterium prausnitzii, Pseudomonas
Hepatic encephalopathy: Parabacteroides, Ruminococcus, Clostridium, Alistipes, Enterococcus, Phascolarctobacterium, Klebsiella, Coprococcus, Lachnospiraceae, Roseburia, Megamonas, Akkermansia, Dorea, Collinsella, Faecalibacterium, Shigella, Sutterella, Enterobacteriaceae, Acinetobacter, Ruminococcaceae
Alcoholism: Clostridium, Parabacteroides, Alistipes, Klebsiella, Ruminococcus, Phascolarctobacterium, Megamonas, Escherichia, Roseburia, Enterococcus, Lachnospiraceae, Pseudomonas, Akkermansia, Collinsella, Coprococcus, Shigella, Sutterella, Lachnospira, Dorea, Dialister
Gastroenteritis: Prevotella, Streptococcus, Lactobacillus, Veillonella, Bacteroides, Corynebacterium, Bifidobacterium, Faecalibacterium prausnitzii, Roseburia, Staphylococcus, Faecalibacterium, Enterobacteriaceae, Haemophilus, Blautia, Ruminococcaceae, Neisseria, Acinetobacter, Ruminococcus, Dialister, Fusobacterium
Primary biliary cholangitis: Parabacteroides, Ruminococcus, Faecalibacterium, Blautia, Enterococcus, Coprococcus, Roseburia, Bacteroides, Dorea, Alistipes, Clostridium, Faecalibacterium prausnitzii, Enterobacteriaceae, Ruminococcaceae, Bifidobacterium, Phascolarctobacterium, Lachnospiraceae, Acinetobacter, Megamonas, Staphylococcus
Amyotrophic lateral sclerosis: Roseburia, Enterococcus, Parabacteroides, Faecalibacterium, Ruminococcus, Blautia, Coprococcus, Faecalibacterium prausnitzii, Bacteroides, Dorea, Alistipes, Clostridium, Enterobacteriaceae, Bifidobacterium, Ruminococcaceae, Lachnospiraceae, Megamonas, Streptococcus, Phascolarctobacterium, Prevotella
Hashimoto's thyroiditis: Blautia, Faecalibacterium, Bacteroides, Roseburia, Ruminococcus, Faecalibacterium prausnitzii, Coprococcus, Bifidobacterium, Enterococcus, Dorea, Streptococcus, Lactobacillus, Parabacteroides, Enterobacteriaceae, Ruminococcaceae, Prevotella, Corynebacterium, Staphylococcus, Veillonella, Clostridium
Cirrhosis with pneumonia: Prevotella, Streptococcus, Bacteroides, Veillonella, Bifidobacterium, Corynebacterium, Lactobacillus, Staphylococcus, Haemophilus, Roseburia, Enterobacteriaceae, Faecalibacterium prausnitzii, Ruminococcaceae, Faecalibacterium, Neisseria, Dialister, Acinetobacter, Ruminococcus, Blautia, Porphyromonas
Hepatitis C: Parabacteroides, Ruminococcus, Roseburia, Alistipes, Enterococcus, Clostridium, Faecalibacterium, Bacteroides, Blautia, Coprococcus, Enterobacteriaceae, Faecalibacterium prausnitzii, Dorea, Ruminococcaceae, Lachnospiraceae, Bifidobacterium, Acinetobacter, Phascolarctobacterium, Lactobacillus, Megasphaera
Functional dyspepsia: Parabacteroides, Enterococcus, Ruminococcus, Clostridium, Roseburia, Anaerostipes, Alistipes, Coprococcus, Bacteroides, Faecalibacterium, Dorea, Blautia, Sutterella, Megamonas, Faecalibacterium prausnitzii, Phascolarctobacterium, Subdoligranulum, Shigella, Bifidobacterium, Lachnospiraceae
Liver transplant: Prevotella, Streptococcus, Lactobacillus, Bacteroides, Corynebacterium, Bifidobacterium, Veillonella, Blautia, Faecalibacterium, Faecalibacterium prausnitzii, Roseburia, Staphylococcus, Enterobacteriaceae, Ruminococcaceae, Ruminococcus, Haemophilus, Acinetobacter, Enterococcus, Neisseria, Lachnospiraceae
Schizophrenia: Alistipes, Dorea, Shigella, Coprococcus, Akkermansia, Parabacteroides, Phascolarctobacterium, Clostridium, Megamonas, Collinsella, Enterococcus, Klebsiella, Bacteroides fragilis, Sutterella, Roseburia, Escherichia coli, Ruminococcus, Anaerostipes, Lachnospiraceae, Lachnospira
Atrophic gastritis: Lactobacillus, Streptococcus, Prevotella, Corynebacterium, Veillonella, Staphylococcus epidermidis, Bifidobacterium, Bacteroides, Bacteroidetes, Neisseria, Fusobacterium, Firmicutes, Staphylococcus, Haemophilus, Faecalibacterium prausnitzii, Alloprevotella, Enterobacteriaceae, Blautia, Megasphaera, Ruminococcaceae
Cervicitis: Staphylococcus epidermidis, Lactobacillus crispatus, Propionibacterium acnes, Lactobacillus iners, Gardnerella vaginalis, Corynebacterium, Lactobacillus, Prevotella, Veillonella, Streptococcus, Haemophilus influenzae, Lactobacillus gasseri, Staphylococcus aureus, Veillonella parvula, Haemophilus parainfluenzae, Prevotella copri, Veillonella dispar, Firmicutes, Neisseria, Rothia mucilaginosa
Smoking: Leptotrichia, Haemophilus parainfluenzae, Granulicatella, Fusobacterium nucleatum, Atopobium, Fusobacterium, Streptococcus salivarius, Porphyromonas gingivalis, Actinomyces, Campylobacter, Neisseria, Porphyromonas, Gemella, Oribacterium, Alloprevotella, Haemophilus, Veillonella, Rothia, Comamonas, Streptococcus oralis
Pregnancy: Veillonella, Corynebacterium, Fusobacterium, Prevotella, Neisseria, Haemophilus parainfluenzae, Streptococcus, Porphyromonas, Haemophilus, Rothia mucilaginosa, Lactobacillus, Firmicutes, Porphyromonas gingivalis, Bacteroidetes, Alloprevotella, Actinomyces, Campylobacter, Gemella, Staphylococcus epidermidis, Veillonella dispar
Idiopathic infertility: Staphylococcus epidermidis, Corynebacterium, Veillonella, Prevotella, Streptococcus, Propionibacterium acnes, Lactobacillus, Gardnerella vaginalis, Lactobacillus crispatus, Neisseria, Bifidobacterium, Fusobacterium, Haemophilus, Firmicutes, Prevotella copri, Staphylococcus, Bacteroides, Lactobacillus iners, Bacteroidetes, Haemophilus parainfluenzae
Trichomonas vaginalis infection: Bacteroides, Pseudomonas, Ruminococcus, Parabacteroides, Bifidobacterium, Roseburia, Dialister, Clostridium, Porphyromonas, Prevotella, Megasphaera, Veillonella, Haemophilus, Streptococcus, Staphylococcus, Faecalibacterium, Lachnospiraceae, Enterococcus, Lactobacillus, Ruminococcaceae
Human papilloma virus infection: Lactobacillus iners, Gardnerella vaginalis, Lactobacillus crispatus, Staphylococcus epidermidis, Haemophilus influenzae, Streptococcus gordonii, Prevotella pallens, Rothia mucilaginosa, Granulicatella adiacens, Propionibacterium acnes, Campylobacter rectus, Veillonella parvula, Lactobacillus gasseri, Lautropia, Porphyromonas gingivalis, Comamonas, Streptococcus oralis, Veillonella dispar, Atopobium vaginae, Haemophilus parainfluenzae
Nongonococcal urethritis: Prevotella, Veillonella, Streptococcus, Lactobacillus, Corynebacterium, Haemophilus, Neisseria, Fusobacterium, Bifidobacterium, Porphyromonas, Staphylococcus, Actinomyces, Bacteroidetes, Bacteroides, Megasphaera, Campylobacter, Dialister, Enterobacteriaceae, Ruminococcaceae, Pseudomonas
Vulvar vestibulitis syndrome: Corynebacterium, Prevotella, Streptococcus, Lactobacillus, Veillonella, Bifidobacterium, Bacteroides, Staphylococcus, Neisseria, Haemophilus, Faecalibacterium prausnitzii, Enterobacteriaceae, Staphylococcus epidermidis, Blautia, Fusobacterium, Ruminococcaceae, Firmicutes, Bacteroidetes, Faecalibacterium, Propionibacterium acnes
Hyperthyroidism: Prevotella, Streptococcus, Lactobacillus, Bacteroides, Corynebacterium, Veillonella, Bifidobacterium, Faecalibacterium prausnitzii, Faecalibacterium, Blautia, Roseburia, Staphylococcus, Enterobacteriaceae, Ruminococcaceae, Haemophilus, Neisseria, Ruminococcus, Acinetobacter, Enterococcus, Fusobacterium
Idiopathic REM Sleep Behavior Disorder: Clostridium cluster IV, Coprobacillus, Clostridiales, Blautia, Firmicutes, Lachnoclostridium, Megasphaera, Bacteroidetes, Faecalibacterium, Lactobacillus, Clostridium cluster XIVa, Bacteroides, Fusicatenibacter, Ruminococcus, Parabacteroides, Coprococcus, Roseburia, Flavonifractor, Faecalibacterium prausnitzii, Dorea
T2D with hypertension: Bacteroides, Lactobacillus, Prevotella, Streptococcus, Bifidobacterium, Roseburia, Veillonella, Faecalibacterium, Blautia, Corynebacterium, Faecalibacterium prausnitzii, Ruminococcus, Staphylococcus, Enterobacteriaceae, Ruminococcaceae, Haemophilus, Parabacteroides, Clostridium, Enterococcus, Acinetobacter
T2D with hyperlipidemia: Bacteroides, Lactobacillus, Prevotella, Streptococcus, Faecalibacterium prausnitzii, Bifidobacterium, Blautia, Roseburia, Veillonella, Faecalibacterium, Corynebacterium, Enterobacteriaceae, Staphylococcus, Ruminococcaceae, Ruminococcus, Enterococcus, Acinetobacter, Haemophilus, Neisseria, Clostridium
T2D with hypertension and hyperlipidemia: Prevotella, Streptococcus, Corynebacterium, Veillonella, Lactobacillus, Bifidobacterium, Bacteroides, Faecalibacterium prausnitzii, Staphylococcus, Blautia, Enterobacteriaceae, Faecalibacterium, Roseburia, Ruminococcaceae, Haemophilus, Neisseria, Acinetobacter, Ruminococcus, Fusobacterium, Enterococcus
Bullous pemphigoid: Prevotella, Streptococcus, Lactobacillus, Corynebacterium, Veillonella, Bacteroides, Bifidobacterium, Blautia, Faecalibacterium prausnitzii, Faecalibacterium, Staphylococcus, Enterobacteriaceae, Roseburia, Ruminococcaceae, Haemophilus, Neisseria, Acinetobacter, Ruminococcus, Enterococcus, Bacteroidetes
