Spirochaetes: Breast Neoplasms, Mouth Neoplasms, Colorectal Neoplasms, Uterine Cervical Neoplasms, Pharyngeal Neoplasms, Pancreatic Neoplasms, Crohn Disease, Ulcerative Colitis, Urinary Bladder Neoplasms, Head and Neck Neoplasms, Lung Neoplasms, Constipation, Celiac Disease, Laryngeal Neoplasms, Parkinson Disease, Alzheimer Disease, Tongue Neoplasms, Stomach Neoplasms, Rectal Neoplasms, Irritable Bowel Syndrome
Hydrogenoanaerobacterium: Irritable Bowel Syndrome, Liver Neoplasms, Stomach Neoplasms, Parkinson Disease, Crohn Disease, Ulcerative Colitis, Alzheimer Disease, Colorectal Neoplasms, Lung Neoplasms, Celiac Disease, Pancreatic Neoplasms, Breast Neoplasms, Mouth Neoplasms, Esophageal Neoplasms, Uterine Cervical Neoplasms, Pharyngeal Neoplasms, Urinary Bladder Neoplasms, Constipation, Head and Neck Neoplasms, Hypertension
Mycoplasma: Mouth Neoplasms, Breast Neoplasms, Pancreatic Neoplasms, Uterine Cervical Neoplasms, Pharyngeal Neoplasms, Urinary Bladder Neoplasms, Lung Neoplasms, Celiac Disease, Head and Neck Neoplasms, Alzheimer Disease, Laryngeal Neoplasms, Constipation, Stomach Neoplasms, Colorectal Neoplasms, Tongue Neoplasms, Ulcerative Colitis, Rectal Neoplasms, Liver Neoplasms, Crohn Disease, Irritable Bowel Syndrome
Methylobacterium: Colorectal Neoplasms, Lung Neoplasms, Alzheimer Disease, Ulcerative Colitis, Stomach Neoplasms, Crohn Disease, Pancreatic Neoplasms, Celiac Disease, Breast Neoplasms, Liver Neoplasms, Irritable Bowel Syndrome, Mouth Neoplasms, Parkinson Disease, Uterine Cervical Neoplasms, Pharyngeal Neoplasms, Urinary Bladder Neoplasms, Head and Neck Neoplasms, Constipation, Laryngeal Neoplasms, Tongue Neoplasms
Oribacterium: Celiac Disease, Colorectal Neoplasms, Stomach Neoplasms, Ulcerative Colitis, Crohn Disease, Breast Neoplasms, Pancreatic Neoplasms, Mouth Neoplasms, Uterine Cervical Neoplasms, Lung Neoplasms, Alzheimer Disease, Pharyngeal Neoplasms, Liver Neoplasms, Irritable Bowel Syndrome, Head and Neck Neoplasms, Constipation, Urinary Bladder Neoplasms, Parkinson Disease, Laryngeal Neoplasms, Rectal Neoplasms
Propionibacterium: Colorectal Neoplasms, Lung Neoplasms, Ulcerative Colitis, Crohn Disease, Alzheimer Disease, Pancreatic Neoplasms, Stomach Neoplasms, Irritable Bowel Syndrome, Liver Neoplasms, Breast Neoplasms, Celiac Disease, Parkinson Disease, Mouth Neoplasms, Uterine Cervical Neoplasms, Pharyngeal Neoplasms, Urinary Bladder Neoplasms, Head and Neck Neoplasms, Constipation, Laryngeal Neoplasms, Tongue Neoplasms
Pseudomonas: Celiac Disease, Stomach Neoplasms, Colorectal Neoplasms, Ulcerative Colitis, Crohn Disease, Pancreatic Neoplasms, Lung Neoplasms, Breast Neoplasms, Alzheimer Disease, Mouth Neoplasms, Uterine Cervical Neoplasms, Irritable Bowel Syndrome, Liver Neoplasms, Pharyngeal Neoplasms, Constipation, Head and Neck Neoplasms, Parkinson Disease, Urinary Bladder Neoplasms, Laryngeal Neoplasms, Rectal Neoplasms
Pandoraea: Mouth Neoplasms, Breast Neoplasms, Urinary Bladder Neoplasms, Uterine Cervical Neoplasms, Celiac Disease, Stomach Neoplasms, Liver Neoplasms, Irritable Bowel Syndrome, Alzheimer Disease, Lung Neoplasms, Pharyngeal Neoplasms, Head and Neck Neoplasms, Tongue Neoplasms, Constipation, Laryngeal Neoplasms, Pancreatic Neoplasms, Rectal Neoplasms, Ovarian Neoplasms, Esophageal Neoplasms, Thyroid Neoplasms
Sphingobacterium: Colorectal Neoplasms, Crohn Disease, Ulcerative Colitis, Lung Neoplasms, Stomach Neoplasms, Alzheimer Disease, Irritable Bowel Syndrome, Parkinson Disease, Liver Neoplasms, Celiac Disease, Pancreatic Neoplasms, Breast Neoplasms, Mouth Neoplasms, Uterine Cervical Neoplasms, Pharyngeal Neoplasms, Urinary Bladder Neoplasms, Head and Neck Neoplasms, Constipation, Laryngeal Neoplasms, Tongue Neoplasms
Sphingomonas: Colorectal Neoplasms, Crohn Disease, Ulcerative Colitis, Lung Neoplasms, Breast Neoplasms, Pancreatic Neoplasms, Stomach Neoplasms, Celiac Disease, Alzheimer Disease, Mouth Neoplasms, Uterine Cervical Neoplasms, Irritable Bowel Syndrome, Liver Neoplasms, Parkinson Disease, Pharyngeal Neoplasms, Urinary Bladder Neoplasms, Head and Neck Neoplasms, Constipation, Laryngeal Neoplasms, Tongue Neoplasms
Sporacetigenium: Stomach Neoplasms, Celiac Disease, Irritable Bowel Syndrome, Liver Neoplasms, Alzheimer Disease, Esophageal Neoplasms, Lung Neoplasms, Breast Neoplasms, Colorectal Neoplasms, Ulcerative Colitis, Mouth Neoplasms, Crohn Disease, Pancreatic Neoplasms, Parkinson Disease, Uterine Cervical Neoplasms, Urinary Bladder Neoplasms, Pharyngeal Neoplasms, Constipation, Ovarian Neoplasms, Head and Neck Neoplasms
Succinispira: Stomach Neoplasms, Celiac Disease, Irritable Bowel Syndrome, Liver Neoplasms, Alzheimer Disease, Esophageal Neoplasms, Lung Neoplasms, Breast Neoplasms, Colorectal Neoplasms, Mouth Neoplasms, Ulcerative Colitis, Crohn Disease, Pancreatic Neoplasms, Parkinson Disease, Uterine Cervical Neoplasms, Urinary Bladder Neoplasms, Pharyngeal Neoplasms, Constipation, Head and Neck Neoplasms, Ovarian Neoplasms
Sutterella: Colorectal Neoplasms, Crohn Disease, Ulcerative Colitis, Lung Neoplasms, Alzheimer Disease, Irritable Bowel Syndrome, Parkinson Disease, Stomach Neoplasms, Liver Neoplasms, Celiac Disease, Pancreatic Neoplasms, Breast Neoplasms, Mouth Neoplasms, Uterine Cervical Neoplasms, Pharyngeal Neoplasms, Constipation, Head and Neck Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Laryngeal Neoplasms
Syntrophococcus: Stomach Neoplasms, Celiac Disease, Irritable Bowel Syndrome, Liver Neoplasms, Alzheimer Disease, Esophageal Neoplasms, Lung Neoplasms, Breast Neoplasms, Colorectal Neoplasms, Ulcerative Colitis, Mouth Neoplasms, Crohn Disease, Pancreatic Neoplasms, Parkinson Disease, Uterine Cervical Neoplasms, Urinary Bladder Neoplasms, Pharyngeal Neoplasms, Constipation, Ovarian Neoplasms, Head and Neck Neoplasms
Treponema: Colorectal Neoplasms, Breast Neoplasms, Mouth Neoplasms, Celiac Disease, Pancreatic Neoplasms, Uterine Cervical Neoplasms, Pharyngeal Neoplasms, Stomach Neoplasms, Lung Neoplasms, Ulcerative Colitis, Alzheimer Disease, Crohn Disease, Head and Neck Neoplasms, Urinary Bladder Neoplasms, Liver Neoplasms, Irritable Bowel Syndrome, Constipation, Laryngeal Neoplasms, Tongue Neoplasms, Parkinson Disease
Turicibacter: Colorectal Neoplasms, Crohn Disease, Ulcerative Colitis, Lung Neoplasms, Alzheimer Disease, Irritable Bowel Syndrome, Liver Neoplasms, Parkinson Disease, Stomach Neoplasms, Pancreatic Neoplasms, Celiac Disease, Breast Neoplasms, Mouth Neoplasms, Uterine Cervical Neoplasms, Pharyngeal Neoplasms, Urinary Bladder Neoplasms, Head and Neck Neoplasms, Constipation, Laryngeal Neoplasms, Esophageal Neoplasms
Weissella: Celiac Disease, Breast Neoplasms, Stomach Neoplasms, Mouth Neoplasms, Pancreatic Neoplasms, Lung Neoplasms, Alzheimer Disease, Liver Neoplasms, Uterine Cervical Neoplasms, Irritable Bowel Syndrome, Pharyngeal Neoplasms, Colorectal Neoplasms, Urinary Bladder Neoplasms, Ulcerative Colitis, Crohn Disease, Head and Neck Neoplasms, Constipation, Laryngeal Neoplasms, Tongue Neoplasms, Rectal Neoplasms
Bacteroides cellulosilyticus: Crohn Disease, Ulcerative Colitis, Colorectal Neoplasms, Parkinson Disease, Irritable Bowel Syndrome, Ovarian Neoplasms, Diarrhea, Alzheimer Disease, Liver Neoplasms, Lung Neoplasms, Pharyngeal Neoplasms, Pancreatic Neoplasms, Constipation, Laryngeal Neoplasms, Urinary Bladder Neoplasms, Mouth Neoplasms, Atherosclerosis, Head and Neck Neoplasms, Coronary Artery Disease, Breast Neoplasms
Bacteroides finegoldii: Colorectal Neoplasms, Crohn Disease, Ulcerative Colitis, Parkinson Disease, Celiac Disease, Stomach Neoplasms, Irritable Bowel Syndrome, Liver Neoplasms, Constipation, Head and Neck Neoplasms, Uterine Cervical Neoplasms, Pharyngeal Neoplasms, Laryngeal Neoplasms, Breast Neoplasms, Mouth Neoplasms, Esophageal Neoplasms, Urinary Bladder Neoplasms, Tongue Neoplasms, Rectal Neoplasms, Inflammatory Bowel Diseases
Bacteroides thetaiotaomicron: Crohn Disease, Ulcerative Colitis, Colorectal Neoplasms, Parkinson Disease, Irritable Bowel Syndrome, Ovarian Neoplasms, Urinary Bladder Neoplasms, Diarrhea, Laryngeal Neoplasms, Pharyngeal Neoplasms, Celiac Disease, Constipation, Head and Neck Neoplasms, Uterine Cervical Neoplasms, Tongue Neoplasms, Liver Neoplasms, Prostatic Neoplasms, Mouth Neoplasms, Stomach Neoplasms, Alzheimer Disease
Oscillospira: Crohn Disease, Ulcerative Colitis, Colorectal Neoplasms, Irritable Bowel Syndrome, Lung Neoplasms, Parkinson Disease, Alzheimer Disease, Liver Neoplasms, Stomach Neoplasms, Celiac Disease, Pancreatic Neoplasms, Breast Neoplasms, Mouth Neoplasms, Uterine Cervical Neoplasms, Pharyngeal Neoplasms, Urinary Bladder Neoplasms, Constipation, Head and Neck Neoplasms, Esophageal Neoplasms, Laryngeal Neoplasms
Abiotrophia: Crohn Disease, Ulcerative Colitis, Irritable Bowel Syndrome, Liver Neoplasms, Stomach Neoplasms, Colorectal Neoplasms, Celiac Disease, Alzheimer Disease, Lung Neoplasms, Parkinson Disease, Pancreatic Neoplasms, Breast Neoplasms, Mouth Neoplasms, Esophageal Neoplasms, Uterine Cervical Neoplasms, Pharyngeal Neoplasms, Urinary Bladder Neoplasms, Constipation, Head and Neck Neoplasms, Laryngeal Neoplasms
Capnocytophaga: Breast Neoplasms, Mouth Neoplasms, Pancreatic Neoplasms, Uterine Cervical Neoplasms, Crohn Disease, Pharyngeal Neoplasms, Ulcerative Colitis, Colorectal Neoplasms, Urinary Bladder Neoplasms, Lung Neoplasms, Alzheimer Disease, Head and Neck Neoplasms, Celiac Disease, Parkinson Disease, Constipation, Laryngeal Neoplasms, Stomach Neoplasms, Tongue Neoplasms, Rectal Neoplasms, Liver Neoplasms
Mobiluncus: Colorectal Neoplasms, Mouth Neoplasms, Breast Neoplasms, Uterine Cervical Neoplasms, Pharyngeal Neoplasms, Pancreatic Neoplasms, Urinary Bladder Neoplasms, Crohn Disease, Ulcerative Colitis, Head and Neck Neoplasms, Laryngeal Neoplasms, Constipation, Celiac Disease, Tongue Neoplasms, Lung Neoplasms, Parkinson Disease, Alzheimer Disease, Rectal Neoplasms, Stomach Neoplasms, Irritable Bowel Syndrome
Moraxella: Colorectal Neoplasms, Stomach Neoplasms, Celiac Disease, Alzheimer Disease, Lung Neoplasms, Liver Neoplasms, Irritable Bowel Syndrome, Crohn Disease, Ulcerative Colitis, Pancreatic Neoplasms, Breast Neoplasms, Mouth Neoplasms, Pharyngeal Neoplasms, Uterine Cervical Neoplasms, Urinary Bladder Neoplasms, Head and Neck Neoplasms, Parkinson Disease, Constipation, Laryngeal Neoplasms, Tongue Neoplasms
Proteus: Colorectal Neoplasms, Crohn Disease, Ulcerative Colitis, Parkinson Disease, Breast Neoplasms, Mouth Neoplasms, Pancreatic Neoplasms, Uterine Cervical Neoplasms, Pharyngeal Neoplasms, Lung Neoplasms, Urinary Bladder Neoplasms, Alzheimer Disease, Celiac Disease, Head and Neck Neoplasms, Constipation, Stomach Neoplasms, Laryngeal Neoplasms, Irritable Bowel Syndrome, Tongue Neoplasms, Liver Neoplasms
Pyramidobacter: Stomach Neoplasms, Liver Neoplasms, Irritable Bowel Syndrome, Celiac Disease, Alzheimer Disease, Lung Neoplasms, Ulcerative Colitis, Crohn Disease, Colorectal Neoplasms, Pancreatic Neoplasms, Breast Neoplasms, Mouth Neoplasms, Uterine Cervical Neoplasms, Pharyngeal Neoplasms, Parkinson Disease, Urinary Bladder Neoplasms, Head and Neck Neoplasms, Esophageal Neoplasms, Constipation, Laryngeal Neoplasms
Schlegelella: Tongue Neoplasms, Ovarian Neoplasms, Gallbladder Neoplasms, Uterine Cervical Neoplasms, Rectal Neoplasms, Urinary Bladder Neoplasms, Laryngeal Neoplasms, Endometrial Neoplasms, Pharyngeal Neoplasms, Mouth Neoplasms, Celiac Disease, Head and Neck Neoplasms, Breast Neoplasms, Prostatic Neoplasms, Constipation, Stomach Neoplasms, Diarrhea, Thyroid Neoplasms, Pancreatic Neoplasms, Coronary Artery Disease
Serratia: Lung Neoplasms, Colorectal Neoplasms, Pancreatic Neoplasms, Alzheimer Disease, Breast Neoplasms, Mouth Neoplasms, Ulcerative Colitis, Crohn Disease, Stomach Neoplasms, Liver Neoplasms, Uterine Cervical Neoplasms, Pharyngeal Neoplasms, Irritable Bowel Syndrome, Celiac Disease, Parkinson Disease, Urinary Bladder Neoplasms, Head and Neck Neoplasms, Constipation, Laryngeal Neoplasms, Tongue Neoplasms
Klebsiella oxytoca: Colorectal Neoplasms, Celiac Disease, Stomach Neoplasms, Irritable Bowel Syndrome, Liver Neoplasms, Crohn Disease, Ulcerative Colitis, Alzheimer Disease, Esophageal Neoplasms, Lung Neoplasms, Parkinson Disease, Pharyngeal Neoplasms, Breast Neoplasms, Mouth Neoplasms, Head and Neck Neoplasms, Constipation, Uterine Cervical Neoplasms, Laryngeal Neoplasms, Pancreatic Neoplasms, Urinary Bladder Neoplasms
Schaalia odontolytica: Crohn Disease, Colorectal Neoplasms, Ulcerative Colitis, Irritable Bowel Syndrome, Liver Neoplasms, Stomach Neoplasms, Celiac Disease, Alzheimer Disease, Lung Neoplasms, Pancreatic Neoplasms, Breast Neoplasms, Mouth Neoplasms, Parkinson Disease, Pharyngeal Neoplasms, Uterine Cervical Neoplasms, Urinary Bladder Neoplasms, Head and Neck Neoplasms, Constipation, Esophageal Neoplasms, Laryngeal Neoplasms
Staphylococcus epidermidis: Celiac Disease, Stomach Neoplasms, Irritable Bowel Syndrome, Liver Neoplasms, Esophageal Neoplasms, Alzheimer Disease, Lung Neoplasms, Breast Neoplasms, Mouth Neoplasms, Pancreatic Neoplasms, Uterine Cervical Neoplasms, Urinary Bladder Neoplasms, Colorectal Neoplasms, Pharyngeal Neoplasms, Constipation, Ovarian Neoplasms, Head and Neck Neoplasms, Tongue Neoplasms, Laryngeal Neoplasms, Rectal Neoplasms
Staphylococcus pasteuri: Celiac Disease, Stomach Neoplasms, Irritable Bowel Syndrome, Liver Neoplasms, Esophageal Neoplasms, Alzheimer Disease, Lung Neoplasms, Breast Neoplasms, Mouth Neoplasms, Pancreatic Neoplasms, Uterine Cervical Neoplasms, Urinary Bladder Neoplasms, Colorectal Neoplasms, Pharyngeal Neoplasms, Constipation, Head and Neck Neoplasms, Ovarian Neoplasms, Tongue Neoplasms, Laryngeal Neoplasms, Rectal Neoplasms
Blautia obeum: Crohn Disease, Ulcerative Colitis, Colorectal Neoplasms, Irritable Bowel Syndrome, Liver Neoplasms, Stomach Neoplasms, Celiac Disease, Alzheimer Disease, Lung Neoplasms, Parkinson Disease, Pancreatic Neoplasms, Breast Neoplasms, Mouth Neoplasms, Esophageal Neoplasms, Pharyngeal Neoplasms, Uterine Cervical Neoplasms, Constipation, Urinary Bladder Neoplasms, Head and Neck Neoplasms, Laryngeal Neoplasms
Citrobacter farmeri: Colorectal Neoplasms, Crohn Disease, Ulcerative Colitis, Parkinson Disease, Ovarian Neoplasms, Irritable Bowel Syndrome, Gallbladder Neoplasms, Tongue Neoplasms, Urinary Bladder Neoplasms, Uterine Cervical Neoplasms, Laryngeal Neoplasms, Rectal Neoplasms, Diarrhea, Celiac Disease, Head and Neck Neoplasms, Constipation, Pharyngeal Neoplasms, Stomach Neoplasms, Mouth Neoplasms, Vascular Stiffness
candidate division SR1: Crohn Disease, Colorectal Neoplasms, Ulcerative Colitis, Breast Neoplasms, Mouth Neoplasms, Parkinson Disease, Pancreatic Neoplasms, Uterine Cervical Neoplasms, Pharyngeal Neoplasms, Lung Neoplasms, Alzheimer Disease, Urinary Bladder Neoplasms, Celiac Disease, Irritable Bowel Syndrome, Stomach Neoplasms, Head and Neck Neoplasms, Constipation, Liver Neoplasms, Laryngeal Neoplasms, Tongue Neoplasms
Dialister pneumosintes: Colorectal Neoplasms, Stomach Neoplasms, Celiac Disease, Irritable Bowel Syndrome, Liver Neoplasms, Alzheimer Disease, Crohn Disease, Lung Neoplasms, Ulcerative Colitis, Esophageal Neoplasms, Pancreatic Neoplasms, Breast Neoplasms, Mouth Neoplasms, Parkinson Disease, Uterine Cervical Neoplasms, Pharyngeal Neoplasms, Constipation, Head and Neck Neoplasms, Laryngeal Neoplasms, Urinary Bladder Neoplasms
Dorea formicigenerans: Crohn Disease, Ulcerative Colitis, Colorectal Neoplasms, Parkinson Disease, Irritable Bowel Syndrome, Diarrhea, Breast Neoplasms, Pancreatic Neoplasms, Lung Neoplasms, Alzheimer Disease, Mouth Neoplasms, Coronary Artery Disease, Atherosclerosis, Hypertension, Liver Neoplasms, Coronary Heart Disease, Uterine Cervical Neoplasms, Pharyngeal Neoplasms, Stomach Neoplasms, Celiac Disease
Lachnobacterium bovis: Colorectal Neoplasms, Crohn Disease, Ulcerative Colitis, Parkinson Disease, Ovarian Neoplasms, Irritable Bowel Syndrome, Gallbladder Neoplasms, Tongue Neoplasms, Uterine Cervical Neoplasms, Urinary Bladder Neoplasms, Laryngeal Neoplasms, Rectal Neoplasms, Diarrhea, Celiac Disease, Head and Neck Neoplasms, Constipation, Pharyngeal Neoplasms, Stomach Neoplasms, Mouth Neoplasms, Vascular Stiffness
Lachnospira pectinoschiza: Colorectal Neoplasms, Crohn Disease, Ulcerative Colitis, Parkinson Disease, Irritable Bowel Syndrome, Ovarian Neoplasms, Diarrhea, Celiac Disease, Laryngeal Neoplasms, Head and Neck Neoplasms, Pharyngeal Neoplasms, Constipation, Stomach Neoplasms, Atherosclerosis, Vascular Stiffness, Coronary Artery Disease, Squamous Intraepithelial Lesions, Urinary Bladder Neoplasms, Prostatic Neoplasms, Uterine Cervical Neoplasms
Megamonas hypermegale: Crohn Disease, Ulcerative Colitis, Colorectal Neoplasms, Parkinson Disease, Irritable Bowel Syndrome, Liver Neoplasms, Stomach Neoplasms, Alzheimer Disease, Celiac Disease, Lung Neoplasms, Breast Neoplasms, Mouth Neoplasms, Pancreatic Neoplasms, Uterine Cervical Neoplasms, Pharyngeal Neoplasms, Urinary Bladder Neoplasms, Constipation, Head and Neck Neoplasms, Esophageal Neoplasms, Laryngeal Neoplasms
Prevotella copri: Irritable Bowel Syndrome, Liver Neoplasms, Colorectal Neoplasms, Crohn Disease, Stomach Neoplasms, Ulcerative Colitis, Celiac Disease, Parkinson Disease, Alzheimer Disease, Lung Neoplasms, Pancreatic Neoplasms, Breast Neoplasms, Mouth Neoplasms, Uterine Cervical Neoplasms, Pharyngeal Neoplasms, Esophageal Neoplasms, Constipation, Head and Neck Neoplasms, Urinary Bladder Neoplasms, Laryngeal Neoplasms
Prevotella oris: Colorectal Neoplasms, Stomach Neoplasms, Celiac Disease, Liver Neoplasms, Irritable Bowel Syndrome, Alzheimer Disease, Lung Neoplasms, Crohn Disease, Ulcerative Colitis, Breast Neoplasms, Pancreatic Neoplasms, Mouth Neoplasms, Pharyngeal Neoplasms, Uterine Cervical Neoplasms, Esophageal Neoplasms, Head and Neck Neoplasms, Constipation, Laryngeal Neoplasms, Urinary Bladder Neoplasms, Parkinson Disease
Pseudobutyrivibrio ruminis: Crohn Disease, Ulcerative Colitis, Colorectal Neoplasms, Parkinson Disease, Irritable Bowel Syndrome, Diarrhea, Breast Neoplasms, Pancreatic Neoplasms, Lung Neoplasms, Alzheimer Disease, Mouth Neoplasms, Coronary Artery Disease, Atherosclerosis, Hypertension, Liver Neoplasms, Coronary Heart Disease, Uterine Cervical Neoplasms, Pharyngeal Neoplasms, Stomach Neoplasms, Celiac Disease
Pseudoflavonifractor capillosus: Crohn Disease, Ulcerative Colitis, Colorectal Neoplasms, Parkinson Disease, Irritable Bowel Syndrome, Liver Neoplasms, Stomach Neoplasms, Alzheimer Disease, Celiac Disease, Lung Neoplasms, Breast Neoplasms, Mouth Neoplasms, Pancreatic Neoplasms, Uterine Cervical Neoplasms, Pharyngeal Neoplasms, Constipation, Urinary Bladder Neoplasms, Head and Neck Neoplasms, Esophageal Neoplasms, Laryngeal Neoplasms
Gemella morbillorum: Colorectal Neoplasms, Crohn Disease, Ulcerative Colitis, Breast Neoplasms, Mouth Neoplasms, Pancreatic Neoplasms, Uterine Cervical Neoplasms, Pharyngeal Neoplasms, Parkinson Disease, Urinary Bladder Neoplasms, Celiac Disease, Lung Neoplasms, Alzheimer Disease, Head and Neck Neoplasms, Stomach Neoplasms, Laryngeal Neoplasms, Constipation, Irritable Bowel Syndrome, Tongue Neoplasms, Liver Neoplasms
Gemella sanguinis: Crohn Disease, Ulcerative Colitis, Colorectal Neoplasms, Parkinson Disease, Irritable Bowel Syndrome, Liver Neoplasms, Stomach Neoplasms, Celiac Disease, Alzheimer Disease, Lung Neoplasms, Breast Neoplasms, Mouth Neoplasms, Pancreatic Neoplasms, Uterine Cervical Neoplasms, Pharyngeal Neoplasms, Urinary Bladder Neoplasms, Constipation, Head and Neck Neoplasms, Laryngeal Neoplasms, Esophageal Neoplasms
Neisseria mucosa: Crohn Disease, Ulcerative Colitis, Colorectal Neoplasms, Parkinson Disease, Irritable Bowel Syndrome, Ovarian Neoplasms, Diarrhea, Pharyngeal Neoplasms, Alzheimer Disease, Laryngeal Neoplasms, Liver Neoplasms, Constipation, Lung Neoplasms, Head and Neck Neoplasms, Pancreatic Neoplasms, Coronary Artery Disease, Atherosclerosis, Urinary Bladder Neoplasms, Uterine Cervical Neoplasms, Prostatic Neoplasms
Prevotella salivae: Crohn Disease, Ulcerative Colitis, Irritable Bowel Syndrome, Stomach Neoplasms, Liver Neoplasms, Celiac Disease, Colorectal Neoplasms, Parkinson Disease, Alzheimer Disease, Lung Neoplasms, Esophageal Neoplasms, Pancreatic Neoplasms, Breast Neoplasms, Mouth Neoplasms, Uterine Cervical Neoplasms, Pharyngeal Neoplasms, Urinary Bladder Neoplasms, Constipation, Head and Neck Neoplasms, Laryngeal Neoplasms
Prevotella sp. oral clone DO039: Crohn Disease, Ulcerative Colitis, Colorectal Neoplasms, Parkinson Disease, Ovarian Neoplasms, Diarrhea, Urinary Bladder Neoplasms, Irritable Bowel Syndrome, Laryngeal Neoplasms, Pharyngeal Neoplasms, Constipation, Tongue Neoplasms, Head and Neck Neoplasms, Gallbladder Neoplasms, Prostatic Neoplasms, Vascular Stiffness, Uterine Cervical Neoplasms, Atherosclerosis, Celiac Disease, Coronary Artery Disease
Streptococcus parasanguinis: Stomach Neoplasms, Celiac Disease, Liver Neoplasms, Irritable Bowel Syndrome, Alzheimer Disease, Lung Neoplasms, Ulcerative Colitis, Crohn Disease, Colorectal Neoplasms, Breast Neoplasms, Pancreatic Neoplasms, Mouth Neoplasms, Uterine Cervical Neoplasms, Pharyngeal Neoplasms, Urinary Bladder Neoplasms, Parkinson Disease, Esophageal Neoplasms, Head and Neck Neoplasms, Constipation, Laryngeal Neoplasms
Streptococcus sp. 11aTha1: Crohn Disease, Ulcerative Colitis, Colorectal Neoplasms, Parkinson Disease, Irritable Bowel Syndrome, Alzheimer Disease, Lung Neoplasms, Pancreatic Neoplasms, Mouth Neoplasms, Liver Neoplasms, Diarrhea, Pharyngeal Neoplasms, Breast Neoplasms, Ovarian Neoplasms, Uterine Cervical Neoplasms, Urinary Bladder Neoplasms, Celiac Disease, Stomach Neoplasms, Constipation, Coronary Artery Disease
Streptococcus sp. oral clone DP009: Crohn Disease, Ulcerative Colitis, Colorectal Neoplasms, Parkinson Disease, Irritable Bowel Syndrome, Diarrhea, Ovarian Neoplasms, Pharyngeal Neoplasms, Alzheimer Disease, Lung Neoplasms, Liver Neoplasms, Pancreatic Neoplasms, Coronary Artery Disease, Atherosclerosis, Laryngeal Neoplasms, Constipation, Urinary Bladder Neoplasms, Head and Neck Neoplasms, Uterine Cervical Neoplasms, Prostatic Neoplasms
Veillonella sp. oral taxon 158: Crohn Disease, Ulcerative Colitis, Colorectal Neoplasms, Parkinson Disease, Irritable Bowel Syndrome, Diarrhea, Ovarian Neoplasms, Pharyngeal Neoplasms, Alzheimer Disease, Liver Neoplasms, Laryngeal Neoplasms, Lung Neoplasms, Coronary Artery Disease, Pancreatic Neoplasms, Atherosclerosis, Constipation, Head and Neck Neoplasms, Urinary Bladder Neoplasms, Uterine Cervical Neoplasms, Vascular Stiffness
Roseburia hominis: Crohn Disease, Ulcerative Colitis, Colorectal Neoplasms, Parkinson Disease, Irritable Bowel Syndrome, Alzheimer Disease, Lung Neoplasms, Liver Neoplasms, Mouth Neoplasms, Breast Neoplasms, Pancreatic Neoplasms, Pharyngeal Neoplasms, Ovarian Neoplasms, Celiac Disease, Uterine Cervical Neoplasms, Urinary Bladder Neoplasms, Diarrhea, Stomach Neoplasms, Constipation, Head and Neck Neoplasms
Basidiomycota: Crohn Disease, Ulcerative Colitis, Colorectal Neoplasms, Parkinson Disease, Irritable Bowel Syndrome, Diarrhea, Breast Neoplasms, Pancreatic Neoplasms, Lung Neoplasms, Alzheimer Disease, Mouth Neoplasms, Coronary Artery Disease, Atherosclerosis, Hypertension, Liver Neoplasms, Coronary Heart Disease, Uterine Cervical Neoplasms, Pharyngeal Neoplasms, Stomach Neoplasms, Urinary Bladder Neoplasms
Candida albicans: Crohn Disease, Ulcerative Colitis, Parkinson Disease, Colorectal Neoplasms, Irritable Bowel Syndrome, Lung Neoplasms, Alzheimer Disease, Breast Neoplasms, Pancreatic Neoplasms, Mouth Neoplasms, Liver Neoplasms, Diarrhea, Coronary Artery Disease, Hypertension, Atherosclerosis, Uterine Cervical Neoplasms, Pharyngeal Neoplasms, Urinary Bladder Neoplasms, Ovarian Neoplasms, Coronary Heart Disease
Candida tropicalis: Crohn Disease, Ulcerative Colitis, Colorectal Neoplasms, Parkinson Disease, Irritable Bowel Syndrome, Ovarian Neoplasms, Diarrhea, Alzheimer Disease, Lung Neoplasms, Liver Neoplasms, Pharyngeal Neoplasms, Pancreatic Neoplasms, Laryngeal Neoplasms, Constipation, Urinary Bladder Neoplasms, Mouth Neoplasms, Head and Neck Neoplasms, Uterine Cervical Neoplasms, Breast Neoplasms, Atherosclerosis
Saccharomyces cerevisiae: Crohn Disease, Ulcerative Colitis, Colorectal Neoplasms, Parkinson Disease, Irritable Bowel Syndrome, Lung Neoplasms, Alzheimer Disease, Pancreatic Neoplasms, Breast Neoplasms, Liver Neoplasms, Mouth Neoplasms, Stomach Neoplasms, Uterine Cervical Neoplasms, Celiac Disease, Pharyngeal Neoplasms, Hypertension, Urinary Bladder Neoplasms, Diarrhea, Coronary Artery Disease, Atherosclerosis
Gardnerella vaginalis: Crohn Disease, Ulcerative Colitis, Parkinson Disease, Colorectal Neoplasms, Breast Neoplasms, Mouth Neoplasms, Pancreatic Neoplasms, Lung Neoplasms, Uterine Cervical Neoplasms, Alzheimer Disease, Pharyngeal Neoplasms, Urinary Bladder Neoplasms, Irritable Bowel Syndrome, Head and Neck Neoplasms, Celiac Disease, Constipation, Stomach Neoplasms, Laryngeal Neoplasms, Tongue Neoplasms, Liver Neoplasms
