Collinsella aerofaciens: Irritable bowel syndrome(IBS), Liver cirrhosis, Bacterial Vaginosis, Crohn's disease(CD), Necrotizing Enterocolitis, Type 2 diabetes, Obesity, Clostridium difficile infection(CDI), Cystic fibrosis, Ileal Crohn's disease(CD), Psoriasis, Asthma, Periodontal, Systemic inflammatory response syndrome, COPD, Type 1 diabetes, Colorectal carcinoma, Guttate psoriasis, Ulcerative colitis, Atopic dermatitis
Enterobacter aerogenes: Necrotizing Enterocolitis, Crohn's disease(CD), Type 2 diabetes, Bacterial Vaginosis, Ileal Crohn's disease(CD), Irritable bowel syndrome(IBS), Liver cirrhosis, Psoriasis, Systemic inflammatory response syndrome, Obesity, Asthma, Periodontal, Cystic fibrosis, COPD, Clostridium difficile infection(CDI), Colorectal carcinoma, Ulcerative colitis, Type 1 diabetes, Inflammatory bowel disease(IBD), Atopic dermatitis
Enterobacter hormaechei: Necrotizing Enterocolitis, Crohn's disease(CD), Type 2 diabetes, Bacterial Vaginosis, Irritable bowel syndrome(IBS), Ileal Crohn's disease(CD), Liver cirrhosis, Psoriasis, Systemic inflammatory response syndrome, Obesity, Asthma, Periodontal, Cystic fibrosis, COPD, Clostridium difficile infection(CDI), Colorectal carcinoma, Ulcerative colitis, Inflammatory bowel disease(IBD), Atopic dermatitis, Guttate psoriasis
Enterococcus: Necrotizing Enterocolitis, Crohn's disease(CD), Type 2 diabetes, Bacterial Vaginosis, Irritable bowel syndrome(IBS), Liver cirrhosis, Psoriasis, Ileal Crohn's disease(CD), Asthma, Periodontal, Systemic inflammatory response syndrome, Obesity, COPD, Cystic fibrosis, Clostridium difficile infection(CDI), Colorectal carcinoma, Atopic dermatitis, Guttate psoriasis, Ulcerative colitis, Eczema
Gammaproteobacteria: Irritable bowel syndrome(IBS), Liver cirrhosis, Bacterial Vaginosis, Crohn's disease(CD), Necrotizing Enterocolitis, Type 2 diabetes, Ileal Crohn's disease(CD), Obesity, Clostridium difficile infection(CDI), Psoriasis, Systemic inflammatory response syndrome, Cystic fibrosis, Asthma, Periodontal, COPD, Type 1 diabetes, Colorectal carcinoma, Ulcerative colitis, Inflammatory bowel disease(IBD), Atopic dermatitis
Klebsiella pneumoniae: Necrotizing Enterocolitis, Crohn's disease(CD), Type 2 diabetes, Bacterial Vaginosis, Irritable bowel syndrome(IBS), Ileal Crohn's disease(CD), Liver cirrhosis, Psoriasis, Systemic inflammatory response syndrome, Obesity, Asthma, Periodontal, Cystic fibrosis, COPD, Clostridium difficile infection(CDI), Colorectal carcinoma, Ulcerative colitis, Inflammatory bowel disease(IBD), Atopic dermatitis, Guttate psoriasis
Shigella dysenteriae: Necrotizing Enterocolitis, Crohn's disease(CD), Type 2 diabetes, Bacterial Vaginosis, Irritable bowel syndrome(IBS), Ileal Crohn's disease(CD), Liver cirrhosis, Systemic inflammatory response syndrome, Psoriasis, Obesity, Asthma, Periodontal, Cystic fibrosis, Clostridium difficile infection(CDI), COPD, Colorectal carcinoma, Ulcerative colitis, Guttate psoriasis, Atopic dermatitis, Inflammatory bowel disease(IBD)
Staphylococcus: Necrotizing Enterocolitis, Crohn's disease(CD), Asthma, Periodontal, Psoriasis, Bacterial Vaginosis, Type 2 diabetes, Irritable bowel syndrome(IBS), COPD, Liver cirrhosis, Ileal Crohn's disease(CD), Obesity, Clostridium difficile infection(CDI), Systemic inflammatory response syndrome, Cystic fibrosis, Colorectal carcinoma, Ulcerative colitis, Inflammatory bowel disease(IBD), Gastric and duodenal ulcer, Atopic dermatitis
Citrobacter: Type 1 diabetes, Necrotizing Enterocolitis, Crohn's disease(CD), Bacterial Vaginosis, Clostridium difficile infection(CDI), Type 2 diabetes, Irritable bowel syndrome(IBS), Liver cirrhosis, Ileal Crohn's disease(CD), Psoriasis, Periodontal, COPD, Colorectal carcinoma, Inflammatory bowel disease(IBD), Asthma, Ulcerative colitis, Obesity, Rheumatoid arthrits, Systemic inflammatory response syndrome, Infectious colitis
Klebsiella: Type 1 diabetes, Necrotizing Enterocolitis, Crohn's disease(CD), Type 2 diabetes, Psoriasis, Bacterial Vaginosis, COPD, Irritable bowel syndrome(IBS), Liver cirrhosis, Periodontal, Clostridium difficile infection(CDI), Ileal Crohn's disease(CD), Asthma, Obesity, Systemic inflammatory response syndrome, Colorectal carcinoma, Ulcerative colitis, Inflammatory bowel disease(IBD), Cystic fibrosis, Rheumatoid arthrits
Haemophilus: Liver cirrhosis, Type 1 diabetes, Irritable bowel syndrome(IBS), Necrotizing Enterocolitis, Psoriasis, Periodontal, COPD, Asthma, Type 2 diabetes, Clostridium difficile infection(CDI), Bacterial Vaginosis, Crohn's disease(CD), Systemic inflammatory response syndrome, Obesity, Ileal Crohn's disease(CD), Colorectal carcinoma, Ulcerative colitis, Cystic fibrosis, Inflammatory bowel disease(IBD), Rheumatoid arthrits
Bacilli: Liver cirrhosis, Irritable bowel syndrome(IBS), Type 1 diabetes, Crohn's disease(CD), Necrotizing Enterocolitis, Clostridium difficile infection(CDI), Bacterial Vaginosis, Type 2 diabetes, Ileal Crohn's disease(CD), Obesity, Systemic inflammatory response syndrome, Psoriasis, Cystic fibrosis, Periodontal, Asthma, COPD, Colorectal carcinoma, Guttate psoriasis, Atopic dermatitis, Ulcerative colitis
Bacteroidaceae: Liver cirrhosis, Type 1 diabetes, Irritable bowel syndrome(IBS), Clostridium difficile infection(CDI), Bacterial Vaginosis, Crohn's disease(CD), Necrotizing Enterocolitis, Type 2 diabetes, Ileal Crohn's disease(CD), Colorectal carcinoma, Inflammatory bowel disease(IBD), Psoriasis, COPD, Periodontal, Ulcerative colitis, Asthma, Obesity, Rheumatoid arthrits, Infectious colitis, Atopy
Bacteroides sp. CJ78: Type 1 diabetes, Bacterial Vaginosis, Liver cirrhosis, Necrotizing Enterocolitis, Crohn's disease(CD), Irritable bowel syndrome(IBS), Type 2 diabetes, Clostridium difficile infection(CDI), Ileal Crohn's disease(CD), Periodontal, Psoriasis, Obesity, Systemic inflammatory response syndrome, Colorectal carcinoma, COPD, Asthma, Cystic fibrosis, Inflammatory bowel disease(IBD), Ulcerative colitis, Atopic dermatitis
Bacteroides thetaiotaomicron: Type 1 diabetes, Bacterial Vaginosis, Liver cirrhosis, Necrotizing Enterocolitis, Crohn's disease(CD), Irritable bowel syndrome(IBS), Type 2 diabetes, Clostridium difficile infection(CDI), Ileal Crohn's disease(CD), Periodontal, Psoriasis, Obesity, Systemic inflammatory response syndrome, Colorectal carcinoma, COPD, Asthma, Cystic fibrosis, Inflammatory bowel disease(IBD), Ulcerative colitis, Atopic dermatitis
Eubacteriaceae: Type 1 diabetes, Liver cirrhosis, Irritable bowel syndrome(IBS), Clostridium difficile infection(CDI), Necrotizing Enterocolitis, Bacterial Vaginosis, Crohn's disease(CD), Type 2 diabetes, Ileal Crohn's disease(CD), Colorectal carcinoma, Psoriasis, COPD, Periodontal, Inflammatory bowel disease(IBD), Ulcerative colitis, Obesity, Asthma, Rheumatoid arthrits, Systemic inflammatory response syndrome, Infectious colitis
Eubacterium eligens: Type 1 diabetes, Liver cirrhosis, Irritable bowel syndrome(IBS), Bacterial Vaginosis, Clostridium difficile infection(CDI), Crohn's disease(CD), Necrotizing Enterocolitis, Type 2 diabetes, Ileal Crohn's disease(CD), Psoriasis, Obesity, Periodontal, COPD, Asthma, Cystic fibrosis, Colorectal carcinoma, Systemic inflammatory response syndrome, Ulcerative colitis, Inflammatory bowel disease(IBD), Rheumatoid arthrits
Eubacterium rectale: Type 1 diabetes, Liver cirrhosis, Irritable bowel syndrome(IBS), Clostridium difficile infection(CDI), Bacterial Vaginosis, Necrotizing Enterocolitis, Crohn's disease(CD), Type 2 diabetes, Ileal Crohn's disease(CD), Psoriasis, Periodontal, Obesity, COPD, Asthma, Colorectal carcinoma, Cystic fibrosis, Inflammatory bowel disease(IBD), Ulcerative colitis, Systemic inflammatory response syndrome, Rheumatoid arthrits
Faecalibacterium: Type 1 diabetes, Liver cirrhosis, Irritable bowel syndrome(IBS), Bacterial Vaginosis, Clostridium difficile infection(CDI), Crohn's disease(CD), Necrotizing Enterocolitis, Type 2 diabetes, Ileal Crohn's disease(CD), Psoriasis, Periodontal, Obesity, COPD, Asthma, Cystic fibrosis, Colorectal carcinoma, Systemic inflammatory response syndrome, Ulcerative colitis, Inflammatory bowel disease(IBD), Rheumatoid arthrits
Human intestinal firmicute CB47: Type 1 diabetes, Bacterial Vaginosis, Necrotizing Enterocolitis, Crohn's disease(CD), Liver cirrhosis, Irritable bowel syndrome(IBS), Type 2 diabetes, Clostridium difficile infection(CDI), Ileal Crohn's disease(CD), Periodontal, Psoriasis, Obesity, Systemic inflammatory response syndrome, Colorectal carcinoma, COPD, Asthma, Cystic fibrosis, Inflammatory bowel disease(IBD), Ulcerative colitis, Atopic dermatitis
Human intestinal firmicute CO19: Type 1 diabetes, Necrotizing Enterocolitis, Bacterial Vaginosis, Crohn's disease(CD), Liver cirrhosis, Irritable bowel syndrome(IBS), Type 2 diabetes, Clostridium difficile infection(CDI), Ileal Crohn's disease(CD), Psoriasis, Periodontal, Obesity, Systemic inflammatory response syndrome, COPD, Colorectal carcinoma, Asthma, Cystic fibrosis, Inflammatory bowel disease(IBD), Ulcerative colitis, Atopic dermatitis
Porphyromonadaceae: Type 1 diabetes, Liver cirrhosis, Irritable bowel syndrome(IBS), Clostridium difficile infection(CDI), Bacterial Vaginosis, Necrotizing Enterocolitis, Crohn's disease(CD), Type 2 diabetes, Ileal Crohn's disease(CD), Colorectal carcinoma, Inflammatory bowel disease(IBD), Psoriasis, COPD, Ulcerative colitis, Periodontal, Rheumatoid arthrits, Asthma, Obesity, Infectious colitis, Atopy
Rikenellaceae: Type 1 diabetes, Clostridium difficile infection(CDI), Irritable bowel syndrome(IBS), Bacterial Vaginosis, Liver cirrhosis, Necrotizing Enterocolitis, Crohn's disease(CD), Type 2 diabetes, Ileal Crohn's disease(CD), Colorectal carcinoma, Inflammatory bowel disease(IBD), Ulcerative colitis, Psoriasis, COPD, Periodontal, Rheumatoid arthrits, Obesity, Asthma, Infectious colitis, Atopy
Ruminococcaceae: Type 1 diabetes, Clostridium difficile infection(CDI), Irritable bowel syndrome(IBS), Bacterial Vaginosis, Necrotizing Enterocolitis, Crohn's disease(CD), Type 2 diabetes, Ileal Crohn's disease(CD), Liver cirrhosis, Colorectal carcinoma, Inflammatory bowel disease(IBD), Psoriasis, COPD, Ulcerative colitis, Periodontal, Rheumatoid arthrits, Obesity, Asthma, Infectious colitis, Atopy
Enterococcus faecium: Crohn's disease(CD), Necrotizing Enterocolitis, Type 2 diabetes, Bacterial Vaginosis, Irritable bowel syndrome(IBS), Liver cirrhosis, Ileal Crohn's disease(CD), Systemic inflammatory response syndrome, Clostridium difficile infection(CDI), Obesity, Psoriasis, Cystic fibrosis, Asthma, Periodontal, COPD, Colorectal carcinoma, Ulcerative colitis, Guttate psoriasis, Atopic dermatitis, Inflammatory bowel disease(IBD)
Aerococcus: Bacterial Vaginosis, Irritable bowel syndrome(IBS), Liver cirrhosis, Crohn's disease(CD), Necrotizing Enterocolitis, Obesity, Cystic fibrosis, Type 2 diabetes, Psoriasis, Ileal Crohn's disease(CD), Clostridium difficile infection(CDI), Periodontal, Asthma, Systemic inflammatory response syndrome, COPD, Colorectal carcinoma, Type 1 diabetes, Ulcerative colitis, Atopic dermatitis, Guttate psoriasis
Gardnerella: Bacterial Vaginosis, Irritable bowel syndrome(IBS), Liver cirrhosis, Crohn's disease(CD), Necrotizing Enterocolitis, Obesity, Cystic fibrosis, Type 2 diabetes, Psoriasis, Clostridium difficile infection(CDI), Ileal Crohn's disease(CD), Periodontal, Asthma, Systemic inflammatory response syndrome, COPD, Colorectal carcinoma, Type 1 diabetes, Ulcerative colitis, Atopic dermatitis, Inflammatory bowel disease(IBD)
Lactobacillus iners: Bacterial Vaginosis, Irritable bowel syndrome(IBS), Liver cirrhosis, Necrotizing Enterocolitis, Crohn's disease(CD), Obesity, Cystic fibrosis, Type 2 diabetes, Psoriasis, Ileal Crohn's disease(CD), Clostridium difficile infection(CDI), Periodontal, Asthma, Systemic inflammatory response syndrome, COPD, Colorectal carcinoma, Ulcerative colitis, Atopic dermatitis, Type 1 diabetes, Guttate psoriasis
Mobiluncus: Bacterial Vaginosis, Irritable bowel syndrome(IBS), Liver cirrhosis, Crohn's disease(CD), Necrotizing Enterocolitis, Obesity, Cystic fibrosis, Type 2 diabetes, Psoriasis, Clostridium difficile infection(CDI), Ileal Crohn's disease(CD), Periodontal, Asthma, Systemic inflammatory response syndrome, COPD, Colorectal carcinoma, Type 1 diabetes, Ulcerative colitis, Atopic dermatitis, Guttate psoriasis
Papillibacter: Bacterial Vaginosis, Irritable bowel syndrome(IBS), Liver cirrhosis, Crohn's disease(CD), Necrotizing Enterocolitis, Obesity, Cystic fibrosis, Type 2 diabetes, Clostridium difficile infection(CDI), Psoriasis, Ileal Crohn's disease(CD), Periodontal, Asthma, Systemic inflammatory response syndrome, COPD, Colorectal carcinoma, Atopic dermatitis, Ulcerative colitis, Eczema, Guttate psoriasis
Comamonadaceae: Asthma, Periodontal, Necrotizing Enterocolitis, Psoriasis, COPD, Crohn's disease(CD), Bacterial Vaginosis, Irritable bowel syndrome(IBS), Liver cirrhosis, Type 2 diabetes, Obesity, Systemic inflammatory response syndrome, Cystic fibrosis, Ileal Crohn's disease(CD), Clostridium difficile infection(CDI), Colorectal carcinoma, Atopic dermatitis, Ulcerative colitis, Guttate psoriasis, Eczema
Oxalobacteraceae: Asthma, Periodontal, Necrotizing Enterocolitis, Psoriasis, COPD, Crohn's disease(CD), Bacterial Vaginosis, Irritable bowel syndrome(IBS), Liver cirrhosis, Type 2 diabetes, Obesity, Systemic inflammatory response syndrome, Cystic fibrosis, Ileal Crohn's disease(CD), Clostridium difficile infection(CDI), Colorectal carcinoma, Atopic dermatitis, Ulcerative colitis, Guttate psoriasis, Eczema
Sphingomonadaceae: Asthma, Periodontal, Necrotizing Enterocolitis, Psoriasis, COPD, Crohn's disease(CD), Bacterial Vaginosis, Irritable bowel syndrome(IBS), Liver cirrhosis, Type 2 diabetes, Obesity, Systemic inflammatory response syndrome, Cystic fibrosis, Ileal Crohn's disease(CD), Clostridium difficile infection(CDI), Colorectal carcinoma, Atopic dermatitis, Ulcerative colitis, Guttate psoriasis, Eczema
Pseudomonas: Asthma, Periodontal, Necrotizing Enterocolitis, Psoriasis, Crohn's disease(CD), COPD, Bacterial Vaginosis, Irritable bowel syndrome(IBS), Type 2 diabetes, Liver cirrhosis, Obesity, Systemic inflammatory response syndrome, Cystic fibrosis, Ileal Crohn's disease(CD), Clostridium difficile infection(CDI), Colorectal carcinoma, Ulcerative colitis, Atopic dermatitis, Guttate psoriasis, Eczema
Oxalobacter formigenes: Atopic dermatitis, Eczema, Diarrhea Irritable bowel syndrome(IBS), Kidney stones, New-onset untreated rheumatoid arthrits, Bacterial Vaginosis, Guttate psoriasis, Necrotizing Enterocolitis, Irritable bowel syndrome(IBS), Crohn's disease(CD), Liver cirrhosis, Whipple's disease, Type 1 diabetes, Allergy, Obesity, Skin and mucosal infections, Type 2 diabetes, Atopic sensitisation, Cystic fibrosis, Allergic sensitization
Tropheryma whipplei: Atopic dermatitis, Whipple's disease, Crohn's disease(CD), Eczema, Guttate psoriasis, Necrotizing Enterocolitis, Diarrhea Irritable bowel syndrome(IBS), Kidney stones, Allergy, Irritable bowel syndrome(IBS), Bacterial Vaginosis, Liver cirrhosis, Gastro-oesophageal reflux, Type 2 diabetes, Allergic sensitization, Type 1 diabetes, Atopic sensitisation, New-onset untreated rheumatoid arthrits, Systemic inflammatory response syndrome, Obesity
Enterococcus faecalis: Liver cirrhosis, Irritable bowel syndrome(IBS), Bacterial Vaginosis, Clostridium difficile infection(CDI), Type 1 diabetes, Crohn's disease(CD), Necrotizing Enterocolitis, Type 2 diabetes, Ileal Crohn's disease(CD), Obesity, Psoriasis, Periodontal, Cystic fibrosis, Asthma, Systemic inflammatory response syndrome, COPD, Colorectal carcinoma, Atopic dermatitis, Guttate psoriasis, Ulcerative colitis
Fusobacteriaceae: Liver cirrhosis, Irritable bowel syndrome(IBS), Crohn's disease(CD), Necrotizing Enterocolitis, Type 2 diabetes, Clostridium difficile infection(CDI), Bacterial Vaginosis, Ileal Crohn's disease(CD), Systemic inflammatory response syndrome, Type 1 diabetes, Psoriasis, Obesity, Periodontal, Cystic fibrosis, Asthma, COPD, Guttate psoriasis, Colorectal carcinoma, Atopic dermatitis, Skin and mucosal infections
Lachnospira: Liver cirrhosis, Irritable bowel syndrome(IBS), Bacterial Vaginosis, Clostridium difficile infection(CDI), Type 1 diabetes, Crohn's disease(CD), Necrotizing Enterocolitis, Type 2 diabetes, Ileal Crohn's disease(CD), Obesity, Psoriasis, Periodontal, Cystic fibrosis, Asthma, Systemic inflammatory response syndrome, COPD, Colorectal carcinoma, Atopic dermatitis, Guttate psoriasis, Ulcerative colitis
Pasteurellaceae: Liver cirrhosis, Irritable bowel syndrome(IBS), Bacterial Vaginosis, Crohn's disease(CD), Clostridium difficile infection(CDI), Necrotizing Enterocolitis, Type 1 diabetes, Type 2 diabetes, Ileal Crohn's disease(CD), Obesity, Psoriasis, Periodontal, Cystic fibrosis, Asthma, Systemic inflammatory response syndrome, COPD, Colorectal carcinoma, Atopic dermatitis, Guttate psoriasis, Ulcerative colitis
Streptococcaceae: Liver cirrhosis, Irritable bowel syndrome(IBS), Bacterial Vaginosis, Crohn's disease(CD), Clostridium difficile infection(CDI), Necrotizing Enterocolitis, Type 1 diabetes, Type 2 diabetes, Ileal Crohn's disease(CD), Obesity, Psoriasis, Periodontal, Cystic fibrosis, Asthma, COPD, Systemic inflammatory response syndrome, Colorectal carcinoma, Atopic dermatitis, Guttate psoriasis, Ulcerative colitis
Veillonellaceae: Liver cirrhosis, Irritable bowel syndrome(IBS), Crohn's disease(CD), Necrotizing Enterocolitis, Type 2 diabetes, Clostridium difficile infection(CDI), Bacterial Vaginosis, Ileal Crohn's disease(CD), Systemic inflammatory response syndrome, Type 1 diabetes, Obesity, Psoriasis, Cystic fibrosis, Periodontal, Asthma, COPD, Guttate psoriasis, Colorectal carcinoma, Skin and mucosal infections, Atopic dermatitis
Acidobacteriaceae: Irritable bowel syndrome(IBS), Liver cirrhosis, Bacterial Vaginosis, Crohn's disease(CD), Necrotizing Enterocolitis, Clostridium difficile infection(CDI), Type 2 diabetes, Type 1 diabetes, Obesity, Ileal Crohn's disease(CD), Psoriasis, Periodontal, Cystic fibrosis, Asthma, COPD, Systemic inflammatory response syndrome, Colorectal carcinoma, Atopic dermatitis, Guttate psoriasis, Ulcerative colitis
Aeromonadaceae: Irritable bowel syndrome(IBS), Liver cirrhosis, Bacterial Vaginosis, Crohn's disease(CD), Necrotizing Enterocolitis, Clostridium difficile infection(CDI), Type 2 diabetes, Type 1 diabetes, Obesity, Ileal Crohn's disease(CD), Psoriasis, Cystic fibrosis, Periodontal, Asthma, COPD, Systemic inflammatory response syndrome, Colorectal carcinoma, Atopic dermatitis, Guttate psoriasis, Ulcerative colitis
Alteromonadaceae: Irritable bowel syndrome(IBS), Liver cirrhosis, Bacterial Vaginosis, Crohn's disease(CD), Necrotizing Enterocolitis, Clostridium difficile infection(CDI), Type 2 diabetes, Type 1 diabetes, Obesity, Ileal Crohn's disease(CD), Psoriasis, Periodontal, Cystic fibrosis, Asthma, COPD, Systemic inflammatory response syndrome, Colorectal carcinoma, Atopic dermatitis, Guttate psoriasis, Ulcerative colitis
Anaerovorax: Irritable bowel syndrome(IBS), Liver cirrhosis, Bacterial Vaginosis, Crohn's disease(CD), Necrotizing Enterocolitis, Clostridium difficile infection(CDI), Type 2 diabetes, Type 1 diabetes, Obesity, Ileal Crohn's disease(CD), Psoriasis, Periodontal, Cystic fibrosis, Asthma, COPD, Systemic inflammatory response syndrome, Colorectal carcinoma, Atopic dermatitis, Guttate psoriasis, Ulcerative colitis
Bacillaceae: Irritable bowel syndrome(IBS), Liver cirrhosis, Bacterial Vaginosis, Crohn's disease(CD), Necrotizing Enterocolitis, Clostridium difficile infection(CDI), Type 2 diabetes, Type 1 diabetes, Obesity, Ileal Crohn's disease(CD), Psoriasis, Periodontal, Cystic fibrosis, Asthma, COPD, Systemic inflammatory response syndrome, Colorectal carcinoma, Atopic dermatitis, Guttate psoriasis, Ulcerative colitis
Cellulomonadaceae: Irritable bowel syndrome(IBS), Liver cirrhosis, Bacterial Vaginosis, Crohn's disease(CD), Necrotizing Enterocolitis, Clostridium difficile infection(CDI), Type 2 diabetes, Type 1 diabetes, Obesity, Ileal Crohn's disease(CD), Psoriasis, Periodontal, Cystic fibrosis, Asthma, COPD, Systemic inflammatory response syndrome, Colorectal carcinoma, Atopic dermatitis, Guttate psoriasis, Ulcerative colitis
Clostridiaceae: Irritable bowel syndrome(IBS), Liver cirrhosis, Bacterial Vaginosis, Crohn's disease(CD), Necrotizing Enterocolitis, Clostridium difficile infection(CDI), Type 2 diabetes, Type 1 diabetes, Obesity, Ileal Crohn's disease(CD), Psoriasis, Periodontal, Cystic fibrosis, Asthma, COPD, Systemic inflammatory response syndrome, Colorectal carcinoma, Atopic dermatitis, Guttate psoriasis, Ulcerative colitis
Desulfobacteraceae: Irritable bowel syndrome(IBS), Liver cirrhosis, Bacterial Vaginosis, Crohn's disease(CD), Necrotizing Enterocolitis, Clostridium difficile infection(CDI), Type 2 diabetes, Type 1 diabetes, Obesity, Ileal Crohn's disease(CD), Psoriasis, Periodontal, Cystic fibrosis, Asthma, COPD, Systemic inflammatory response syndrome, Colorectal carcinoma, Atopic dermatitis, Guttate psoriasis, Ulcerative colitis
Desulfovibrionaceae: Irritable bowel syndrome(IBS), Liver cirrhosis, Bacterial Vaginosis, Crohn's disease(CD), Necrotizing Enterocolitis, Clostridium difficile infection(CDI), Type 2 diabetes, Type 1 diabetes, Obesity, Ileal Crohn's disease(CD), Psoriasis, Periodontal, Cystic fibrosis, Asthma, COPD, Systemic inflammatory response syndrome, Colorectal carcinoma, Atopic dermatitis, Guttate psoriasis, Ulcerative colitis
Dorea: Liver cirrhosis, Irritable bowel syndrome(IBS), Bacterial Vaginosis, Crohn's disease(CD), Clostridium difficile infection(CDI), Necrotizing Enterocolitis, Type 1 diabetes, Type 2 diabetes, Ileal Crohn's disease(CD), Obesity, Psoriasis, Periodontal, Cystic fibrosis, Asthma, Systemic inflammatory response syndrome, COPD, Colorectal carcinoma, Atopic dermatitis, Guttate psoriasis, Ulcerative colitis
Eubacterium: Liver cirrhosis, Type 1 diabetes, Irritable bowel syndrome(IBS), Clostridium difficile infection(CDI), Bacterial Vaginosis, Necrotizing Enterocolitis, Crohn's disease(CD), Type 2 diabetes, Ileal Crohn's disease(CD), Psoriasis, Periodontal, COPD, Colorectal carcinoma, Asthma, Obesity, Inflammatory bowel disease(IBD), Ulcerative colitis, Rheumatoid arthrits, Cystic fibrosis, Systemic inflammatory response syndrome
Haemophilus parainfluenzae: Liver cirrhosis, Irritable bowel syndrome(IBS), Bacterial Vaginosis, Crohn's disease(CD), Clostridium difficile infection(CDI), Necrotizing Enterocolitis, Type 1 diabetes, Type 2 diabetes, Ileal Crohn's disease(CD), Obesity, Psoriasis, Periodontal, Cystic fibrosis, Asthma, Systemic inflammatory response syndrome, COPD, Colorectal carcinoma, Atopic dermatitis, Guttate psoriasis, Ulcerative colitis
Nitrospiraceae: Irritable bowel syndrome(IBS), Liver cirrhosis, Bacterial Vaginosis, Crohn's disease(CD), Necrotizing Enterocolitis, Clostridium difficile infection(CDI), Type 2 diabetes, Type 1 diabetes, Obesity, Ileal Crohn's disease(CD), Psoriasis, Cystic fibrosis, Periodontal, Asthma, COPD, Systemic inflammatory response syndrome, Colorectal carcinoma, Atopic dermatitis, Guttate psoriasis, Ulcerative colitis
Paenibacillaceae: Irritable bowel syndrome(IBS), Liver cirrhosis, Bacterial Vaginosis, Crohn's disease(CD), Necrotizing Enterocolitis, Clostridium difficile infection(CDI), Type 2 diabetes, Obesity, Type 1 diabetes, Ileal Crohn's disease(CD), Psoriasis, Cystic fibrosis, Periodontal, Asthma, COPD, Systemic inflammatory response syndrome, Colorectal carcinoma, Guttate psoriasis, Atopic dermatitis, Ulcerative colitis
Peptostreptococcaceae: Irritable bowel syndrome(IBS), Liver cirrhosis, Bacterial Vaginosis, Crohn's disease(CD), Necrotizing Enterocolitis, Clostridium difficile infection(CDI), Type 2 diabetes, Type 1 diabetes, Obesity, Ileal Crohn's disease(CD), Psoriasis, Periodontal, Cystic fibrosis, Asthma, COPD, Systemic inflammatory response syndrome, Colorectal carcinoma, Atopic dermatitis, Guttate psoriasis, Ulcerative colitis
Polyangiaceae: Irritable bowel syndrome(IBS), Liver cirrhosis, Bacterial Vaginosis, Crohn's disease(CD), Necrotizing Enterocolitis, Clostridium difficile infection(CDI), Type 2 diabetes, Type 1 diabetes, Obesity, Ileal Crohn's disease(CD), Psoriasis, Periodontal, Cystic fibrosis, Asthma, COPD, Systemic inflammatory response syndrome, Colorectal carcinoma, Atopic dermatitis, Guttate psoriasis, Ulcerative colitis
Promicromonosporaceae: Irritable bowel syndrome(IBS), Liver cirrhosis, Bacterial Vaginosis, Crohn's disease(CD), Necrotizing Enterocolitis, Clostridium difficile infection(CDI), Type 2 diabetes, Type 1 diabetes, Obesity, Ileal Crohn's disease(CD), Psoriasis, Periodontal, Cystic fibrosis, Asthma, COPD, Systemic inflammatory response syndrome, Colorectal carcinoma, Atopic dermatitis, Guttate psoriasis, Ulcerative colitis
Ruminococcus: Liver cirrhosis, Irritable bowel syndrome(IBS), Bacterial Vaginosis, Crohn's disease(CD), Clostridium difficile infection(CDI), Necrotizing Enterocolitis, Type 1 diabetes, Type 2 diabetes, Ileal Crohn's disease(CD), Obesity, Psoriasis, Periodontal, Cystic fibrosis, Asthma, Systemic inflammatory response syndrome, COPD, Colorectal carcinoma, Atopic dermatitis, Guttate psoriasis, Ulcerative colitis
Syntrophobacteraceae: Irritable bowel syndrome(IBS), Liver cirrhosis, Bacterial Vaginosis, Crohn's disease(CD), Necrotizing Enterocolitis, Clostridium difficile infection(CDI), Type 2 diabetes, Type 1 diabetes, Obesity, Ileal Crohn's disease(CD), Psoriasis, Periodontal, Cystic fibrosis, Asthma, COPD, Systemic inflammatory response syndrome, Colorectal carcinoma, Atopic dermatitis, Guttate psoriasis, Ulcerative colitis
Thiotrichaceae: Irritable bowel syndrome(IBS), Liver cirrhosis, Bacterial Vaginosis, Crohn's disease(CD), Necrotizing Enterocolitis, Clostridium difficile infection(CDI), Type 2 diabetes, Type 1 diabetes, Obesity, Ileal Crohn's disease(CD), Psoriasis, Periodontal, Cystic fibrosis, Asthma, COPD, Systemic inflammatory response syndrome, Colorectal carcinoma, Atopic dermatitis, Guttate psoriasis, Ulcerative colitis
Xanthomonas: Cystic fibrosis, Obesity, Bacterial Vaginosis, Necrotizing Enterocolitis, Irritable bowel syndrome(IBS), Guttate psoriasis, Crohn's disease(CD), Liver cirrhosis, Psoriasis, Periodontal, Asthma, Type 2 diabetes, COPD, Systemic inflammatory response syndrome, Atopic dermatitis, Ileal Crohn's disease(CD), Clostridium difficile infection(CDI), Eczema, Type 1 diabetes, Skin and mucosal infections
Fusobacterium nucleatum: Necrotizing Enterocolitis, Crohn's disease(CD), Bacterial Vaginosis, Type 2 diabetes, Irritable bowel syndrome(IBS), Liver cirrhosis, Psoriasis, Periodontal, Asthma, Clostridium difficile infection(CDI), Ileal Crohn's disease(CD), Obesity, Systemic inflammatory response syndrome, Cystic fibrosis, COPD, Colorectal carcinoma, Ulcerative colitis, Guttate psoriasis, Atopic dermatitis, Eczema
